produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
cucumber,58.66,77.98,67.7,35.09,0.464,77.79,C
banana,65.36,93.98,75.29,22.76,0.311,81.84,B
tomato,82.61,84.1,71.8,42.87,0.239,74.34,A
banana,73.9,79.43,78.33,17.46,0.283,86.14,B
apple,61.08,76.2,69.01,42.98,0.439,77.33,C
tomato,74.03,78.56,52.77,51.92,0.284,72.1,C
carrot,75.87,84.04,90.27,0.91,0.278,87.05,A
orange,62.12,56.98,73.82,34.87,0.463,67.18,C
orange,77.36,93.44,68.78,28.13,0.193,70.81,B
apple,97.31,74.3,63.18,29.74,0.017,77.56,B
tomato,53.09,77.75,59.45,46.48,0.483,65.42,C
banana,79.09,76.27,100.0,3.28,0.243,74.8,B
tomato,100.0,97.91,46.45,51.67,0.0,80.74,C
banana,81.66,72.79,76.55,7.81,0.129,74.85,B
tomato,48.88,77.43,92.15,0.0,0.523,85.12,C
cucumber,100.0,79.24,73.25,31.88,0.0,75.14,B
orange,75.92,92.18,84.87,10.64,0.248,95.98,A
cucumber,65.53,83.74,72.91,26.71,0.263,85.38,B
tomato,93.39,74.54,65.99,41.29,0.116,71.31,B
apple,89.42,78.54,75.87,20.16,0.151,73.73,B
orange,73.26,82.25,88.14,12.0,0.252,85.04,B
tomato,91.41,74.05,73.98,26.08,0.129,73.51,B
cucumber,75.65,79.15,73.26,18.84,0.192,73.55,B
apple,95.04,81.6,68.25,39.11,0.127,81.2,B
banana,70.57,100.0,79.86,18.54,0.33,94.97,B
apple,69.43,84.63,90.82,2.21,0.306,82.16,B
tomato,69.55,87.73,70.85,25.26,0.307,73.55,B
cucumber,84.43,95.58,74.73,24.05,0.174,75.01,A
orange,100.0,80.53,74.09,30.37,0.082,82.19,A
banana,45.67,88.76,100.0,3.73,0.486,95.79,C
carrot,96.49,70.53,77.19,17.67,0.008,81.29,B
apple,79.55,75.29,57.68,31.09,0.142,67.04,C
carrot,69.59,100.0,64.52,34.05,0.25,87.21,B
cucumber,100.0,60.86,70.46,37.13,0.0,68.49,C
apple,79.17,88.6,100.0,11.69,0.205,91.64,A
tomato,64.2,93.72,54.05,44.43,0.363,71.37,C
apple,100.0,80.54,69.03,37.06,0.012,81.98,B
apple,80.47,79.02,47.46,42.82,0.104,65.14,C
banana,96.83,82.36,72.09,22.84,0.063,73.21,A
banana,63.22,96.26,81.67,16.92,0.4,89.01,C
apple,65.75,100.0,66.73,42.61,0.333,87.4,B
apple,89.01,95.76,62.55,43.9,0.202,77.86,B
cucumber,70.15,77.84,100.0,0.0,0.251,96.98,B
banana,87.37,100.0,68.79,31.96,0.093,85.11,B
banana,88.27,85.88,75.08,22.58,0.073,84.12,A
carrot,60.43,88.14,100.0,8.91,0.32,91.39,C
apple,76.95,65.21,82.17,17.77,0.326,72.42,C
carrot,95.52,66.79,59.55,44.78,0.099,58.39,C
cucumber,57.28,79.83,89.39,8.0,0.415,78.96,C
orange,68.27,100.0,77.17,16.82,0.302,80.6,B
cucumber,98.41,80.29,100.0,0.0,0.014,93.35,A
orange,37.91,84.46,75.22,33.7,0.669,74.17,C
orange,53.35,96.91,71.8,22.77,0.476,83.34,C
apple,100.0,86.09,79.29,26.11,0.055,86.61,A
banana,87.13,84.01,95.83,3.63,0.13,98.53,A
cucumber,100.0,81.9,68.74,40.04,0.04,76.9,B
carrot,82.98,81.74,65.37,35.4,0.184,71.68,B
cucumber,91.56,97.47,91.52,6.82,0.122,94.88,A
cucumber,88.09,83.75,100.0,8.74,0.155,93.12,A
apple,80.46,69.96,48.18,46.59,0.193,48.54,C
apple,74.29,79.41,65.41,32.54,0.343,75.72,B
banana,69.6,81.18,75.55,19.85,0.266,83.42,B
tomato,61.58,81.48,77.89,10.28,0.382,84.03,C
cucumber,84.77,100.0,96.02,12.68,0.292,100.0,A
cucumber,92.61,75.29,77.72,18.39,0.094,73.25,B
banana,67.7,86.96,73.8,14.64,0.25,74.64,B
tomato,84.22,84.63,93.04,11.47,0.211,91.88,A
tomato,81.15,95.19,90.71,11.55,0.252,81.22,A
carrot,73.41,95.83,100.0,0.0,0.336,92.06,B
cucumber,60.88,79.19,70.91,19.74,0.424,78.45,C
orange,71.5,81.53,75.51,34.61,0.143,73.73,B
banana,78.08,68.97,71.87,27.38,0.186,70.74,C
tomato,74.46,76.56,73.35,26.61,0.168,77.26,B
orange,71.23,97.14,85.46,21.56,0.237,89.44,B
cucumber,67.42,97.03,99.8,0.0,0.303,98.03,B
banana,86.78,60.88,50.35,52.59,0.035,53.38,C
apple,84.23,80.3,70.15,34.92,0.172,71.99,A
orange,78.57,86.6,100.0,4.72,0.275,90.25,A
carrot,74.47,80.28,59.87,47.72,0.299,68.55,C
carrot,87.63,84.67,87.52,4.42,0.116,85.81,A
tomato,68.57,52.0,58.69,40.94,0.317,63.77,C
banana,86.74,82.98,75.48,31.14,0.103,78.53,A
orange,99.28,86.71,64.68,34.63,0.033,74.44,B
orange,69.98,74.15,81.42,16.43,0.277,71.11,B
tomato,75.28,78.14,79.18,25.31,0.282,81.42,B
carrot,74.39,75.2,59.3,37.14,0.257,63.32,C
cucumber,63.52,62.07,89.11,8.04,0.323,70.12,C
apple,84.35,98.5,69.55,29.16,0.21,74.97,B
carrot,100.0,49.52,74.44,21.25,0.0,59.89,C
apple,90.18,80.65,61.43,37.54,0.124,65.12,B
carrot,100.0,74.29,73.8,23.81,0.027,82.91,B
carrot,86.7,63.78,53.85,43.75,0.12,50.21,C
banana,61.71,99.92,100.0,0.0,0.405,93.8,C
carrot,87.36,76.02,58.6,39.66,0.103,65.69,C
cucumber,66.22,100.0,54.8,54.89,0.287,77.39,C
tomato,70.65,77.88,88.82,20.18,0.353,81.32,B
tomato,66.27,70.1,57.66,39.72,0.35,54.32,C
apple,77.3,100.0,93.95,2.54,0.157,99.27,A
apple,94.65,79.44,100.0,0.0,0.099,89.22,B
carrot,73.03,65.56,85.53,18.52,0.359,80.59,C
orange,62.94,65.58,99.57,0.0,0.445,85.2,C
tomato,82.95,78.32,86.57,13.34,0.152,85.92,B
cucumber,66.02,89.2,74.98,27.96,0.317,76.04,B
apple,100.0,100.0,90.14,7.53,0.0,100.0,A
orange,68.51,100.0,75.24,35.37,0.245,90.21,B
orange,100.0,82.36,71.78,21.22,0.054,73.22,A
orange,59.48,100.0,94.48,5.33,0.347,100.0,C
carrot,72.51,68.74,47.81,48.32,0.202,55.16,C
cucumber,72.37,86.27,64.43,35.96,0.372,73.61,B
carrot,83.77,63.21,100.0,0.0,0.215,80.99,C
carrot,88.07,76.57,93.47,1.98,0.158,83.07,B
cucumber,83.24,76.46,76.8,16.75,0.18,76.85,B
apple,77.17,83.61,66.14,33.09,0.178,86.6,B
cucumber,93.89,85.28,94.75,0.0,0.0,88.02,A
cucumber,74.45,84.47,90.73,2.44,0.275,87.67,B
carrot,83.21,75.76,98.13,1.25,0.257,82.99,B
orange,77.1,78.07,86.12,12.09,0.096,66.78,B
carrot,97.09,96.76,100.0,0.0,0.0,96.28,A
apple,62.89,100.0,100.0,2.87,0.371,93.53,C
apple,100.0,82.92,71.37,31.51,0.0,77.88,A
orange,94.31,80.75,94.54,4.25,0.05,81.58,A
orange,89.4,71.49,68.22,31.79,0.112,61.32,B
apple,89.93,77.46,72.4,28.57,0.094,69.78,B
apple,77.45,93.93,59.18,38.57,0.156,81.26,C
cucumber,65.25,83.11,56.74,37.06,0.275,64.59,C
orange,98.36,73.2,83.46,11.52,0.054,73.2,B
cucumber,78.79,100.0,86.09,10.36,0.246,100.0,A
banana,53.56,71.89,72.21,25.29,0.448,65.53,C
tomato,56.66,79.6,92.73,7.09,0.384,79.42,C
orange,74.55,72.92,79.28,12.31,0.295,76.68,B
orange,99.62,76.75,64.39,32.33,0.0,70.11,B
cucumber,65.54,57.72,67.03,35.13,0.351,68.37,C
orange,89.39,98.59,88.27,21.99,0.199,98.19,A
cucumber,88.6,79.54,75.34,22.63,0.145,73.84,B
apple,42.67,100.0,72.47,30.26,0.646,87.74,C
banana,99.67,67.1,100.0,6.52,0.014,90.67,C
cucumber,73.67,99.33,46.13,57.24,0.29,82.58,C
banana,54.26,100.0,67.05,30.27,0.396,78.08,C
cucumber,61.32,90.88,65.39,27.33,0.36,79.82,C
apple,73.84,82.41,87.14,19.36,0.246,79.55,B
apple,85.06,64.47,61.75,33.93,0.139,59.31,C
banana,88.61,62.74,50.72,47.27,0.105,49.46,C
apple,71.98,77.28,78.43,17.6,0.354,80.3,B
orange,65.89,83.13,77.98,29.3,0.311,84.4,B
apple,100.0,97.49,79.15,19.27,0.025,87.42,A
orange,100.0,82.94,69.51,27.73,0.0,79.01,B
apple,94.47,66.48,78.04,28.87,0.0,82.35,C
orange,71.62,83.69,85.14,19.21,0.297,89.41,B
banana,100.0,88.27,100.0,5.41,0.0,100.0,A
apple,69.38,99.95,76.43,29.94,0.272,91.32,B
banana,100.0,87.26,90.98,0.0,0.0,91.17,A
carrot,81.35,93.53,70.15,30.15,0.246,70.45,A
cucumber,72.99,71.05,81.38,25.98,0.322,75.54,B
banana,91.14,92.42,74.6,21.24,0.057,87.7,A
cucumber,62.31,61.78,89.31,7.41,0.393,81.74,C
apple,58.37,81.46,73.27,29.01,0.478,70.72,C
carrot,93.47,79.76,73.8,28.71,0.083,79.69,B
carrot,86.42,70.22,91.84,15.16,0.145,73.56,B
apple,80.92,68.26,70.24,21.31,0.221,70.08,C
apple,53.31,86.22,75.1,28.0,0.447,76.65,C
apple,69.93,82.23,78.37,20.49,0.28,78.54,B
carrot,100.0,72.75,67.07,52.69,0.021,63.01,B
banana,64.35,92.91,72.62,24.74,0.437,85.6,C
tomato,92.59,87.22,68.89,34.78,0.135,78.73,B
tomato,90.76,84.54,80.02,20.8,0.03,81.83,A
carrot,81.32,77.01,81.4,18.73,0.226,82.52,B
cucumber,57.49,100.0,73.73,25.78,0.408,84.42,C
apple,100.0,98.63,83.11,16.24,0.031,91.24,A
banana,83.07,76.71,80.04,21.19,0.199,75.28,B
apple,88.65,71.12,66.84,29.99,0.06,74.06,B
orange,67.52,97.06,66.87,32.0,0.274,86.13,B
cucumber,90.7,90.87,84.6,15.84,0.067,83.66,A
apple,89.47,73.68,76.64,21.56,0.049,76.05,B
cucumber,71.77,70.57,52.33,38.28,0.264,61.03,C
banana,87.76,81.21,85.23,13.67,0.083,83.79,A
carrot,59.06,88.47,61.01,44.5,0.392,80.05,C
apple,67.83,86.57,94.73,15.27,0.324,99.84,B
tomato,73.66,95.19,60.93,41.6,0.146,72.45,B
banana,58.31,87.12,90.5,6.49,0.368,86.44,C
apple,63.51,80.79,77.63,20.53,0.449,75.61,C
banana,62.38,82.87,94.93,11.86,0.355,91.68,C
apple,84.32,75.52,85.86,25.32,0.18,83.52,B
cucumber,56.09,87.52,59.73,36.73,0.547,72.36,C
carrot,66.9,95.83,60.84,36.48,0.393,78.55,B
banana,86.16,77.24,100.0,0.0,0.191,97.5,B
tomato,65.24,79.68,82.22,12.64,0.361,79.83,B
orange,78.73,82.86,78.62,17.78,0.185,80.15,A
carrot,77.33,76.73,81.18,7.93,0.19,77.56,B
carrot,100.0,82.23,78.83,18.27,0.0,74.45,A
carrot,75.45,70.76,71.56,13.08,0.189,78.48,B
cucumber,97.79,98.65,86.77,10.51,0.0,98.44,A
cucumber,78.97,100.0,70.16,41.68,0.202,91.76,A
tomato,62.66,76.18,59.47,33.15,0.407,66.84,C
banana,78.79,88.67,46.28,61.44,0.195,70.14,C
tomato,98.56,80.74,42.02,58.32,0.024,56.21,C
banana,80.21,77.67,54.52,49.51,0.17,64.06,C
apple,96.53,81.51,77.27,20.09,0.058,86.13,A
orange,87.72,90.24,85.7,6.02,0.079,86.95,A
orange,62.03,59.53,54.46,44.01,0.376,53.03,C
banana,79.18,76.79,93.45,5.58,0.243,86.14,B
tomato,76.64,67.17,74.27,21.26,0.253,64.01,C
cucumber,78.22,88.87,90.52,4.89,0.219,90.62,A
orange,55.78,71.07,100.0,0.0,0.348,82.62,C
apple,36.47,84.89,88.96,5.57,0.612,91.54,C
orange,58.18,79.26,63.96,34.27,0.355,72.68,C
tomato,75.76,88.59,79.21,22.03,0.17,86.36,A
tomato,75.5,94.58,64.49,43.62,0.317,83.3,B
banana,63.29,55.76,93.26,7.41,0.33,80.38,C
orange,71.64,88.3,58.18,41.16,0.338,74.3,C
tomato,96.71,95.6,76.12,9.86,0.0,89.68,A
tomato,73.1,86.06,99.51,0.0,0.237,92.53,B
orange,83.26,80.15,92.79,2.42,0.173,88.69,A
apple,90.6,83.79,88.62,12.54,0.113,83.04,A
carrot,68.54,96.69,86.17,7.69,0.324,79.56,B
carrot,92.42,80.5,77.89,4.02,0.056,80.88,A
cucumber,84.98,93.55,72.64,26.37,0.084,82.07,A
orange,50.28,68.98,100.0,0.0,0.508,81.92,C
orange,51.14,93.23,41.24,55.43,0.486,68.39,C
banana,50.43,72.39,64.02,31.34,0.544,62.14,C
banana,82.51,83.9,91.37,7.83,0.214,86.77,A
banana,55.46,50.34,82.04,20.55,0.469,63.57,C
tomato,100.0,76.48,82.73,20.83,0.086,78.02,B
tomato,55.53,100.0,82.74,19.98,0.601,93.0,C
apple,58.47,79.65,60.4,37.22,0.395,67.09,C
tomato,100.0,85.59,72.39,32.15,0.024,80.37,A
carrot,88.27,83.61,86.72,17.8,0.125,84.06,A
cucumber,70.83,86.7,82.62,13.72,0.251,82.89,B
banana,70.62,64.5,65.58,36.02,0.357,67.81,C
tomato,87.62,75.3,83.25,16.67,0.114,78.76,B
banana,77.66,98.13,75.69,30.83,0.27,90.24,A
apple,94.75,76.51,87.45,6.71,0.0,91.86,B
banana,63.65,95.75,77.89,19.58,0.361,80.32,C
tomato,61.76,77.25,90.8,10.72,0.308,88.29,C
orange,77.89,75.49,87.95,11.05,0.163,90.96,B
orange,76.78,77.14,94.88,1.97,0.155,82.62,B
carrot,97.9,91.99,71.92,36.32,0.058,80.62,A
apple,82.94,72.02,76.07,25.78,0.086,73.1,B
tomato,73.45,94.34,46.49,51.22,0.241,75.21,C
banana,100.0,89.95,69.44,32.0,0.0,83.99,B
banana,58.02,72.12,83.29,24.06,0.31,84.58,C
banana,49.74,45.98,51.53,48.35,0.499,51.92,C
apple,69.76,68.7,69.39,30.81,0.314,65.1,C
carrot,68.68,71.56,67.32,39.13,0.307,65.97,B
carrot,91.89,100.0,79.35,28.05,0.133,86.65,A
apple,58.76,79.54,65.98,31.6,0.375,71.33,C
apple,85.98,80.57,46.17,49.35,0.064,64.59,C
carrot,81.85,72.55,79.95,17.23,0.125,79.96,B
apple,90.27,93.39,66.27,40.81,0.073,83.09,B
cucumber,74.64,52.95,71.17,29.38,0.233,70.84,C
tomato,60.56,75.24,61.52,35.1,0.446,75.77,C
cucumber,67.15,68.11,96.9,9.83,0.323,75.53,C
carrot,58.4,84.05,84.79,2.81,0.4,92.51,C
orange,100.0,89.79,58.65,39.59,0.0,69.46,C
banana,63.45,100.0,60.36,46.11,0.344,80.05,C
carrot,69.02,88.81,43.26,59.38,0.186,64.9,C
cucumber,90.81,89.47,55.23,37.76,0.057,73.28,C
cucumber,77.8,85.74,71.47,31.68,0.233,75.9,A
tomato,48.96,83.6,60.75,35.78,0.534,79.26,C
banana,86.31,64.67,79.93,19.71,0.198,69.6,C
tomato,74.38,94.71,74.53,18.82,0.384,79.22,B
cucumber,83.2,85.21,72.96,25.93,0.156,73.51,A
tomato,100.0,79.36,85.55,12.44,0.0,80.18,B
orange,75.59,77.12,94.74,0.0,0.215,81.44,B
banana,99.64,71.57,85.0,20.82,0.0,71.4,B
banana,90.9,66.87,82.27,18.41,0.11,76.93,C
cucumber,63.99,70.29,87.44,8.79,0.223,82.11,C
carrot,85.01,98.71,76.27,29.71,0.158,95.43,A
tomato,62.07,81.9,86.77,12.09,0.437,82.18,C
banana,100.0,85.38,84.84,22.31,0.0,78.55,A
apple,96.85,85.29,72.38,27.69,0.0,77.88,A
tomato,91.77,93.94,85.23,17.15,0.007,92.54,A
orange,87.44,96.94,100.0,0.0,0.106,94.76,A
tomato,78.2,79.19,92.44,0.95,0.166,80.7,B
cucumber,72.6,67.26,75.22,23.78,0.235,75.61,C
carrot,93.94,79.66,75.61,21.01,0.06,81.2,B
carrot,71.83,88.22,63.0,41.56,0.253,79.87,B
apple,100.0,68.15,52.38,43.92,0.0,53.35,C
banana,87.32,81.95,68.33,29.35,0.097,83.39,B
apple,58.17,91.55,72.55,39.68,0.392,86.28,C
tomato,94.23,75.74,64.11,40.33,0.086,62.88,B
carrot,39.95,89.14,71.81,27.22,0.516,74.99,C
carrot,70.83,73.93,77.89,25.62,0.405,75.81,B
orange,65.55,61.9,70.36,20.05,0.345,62.23,C
banana,48.69,100.0,67.4,22.78,0.558,80.06,C
cucumber,67.0,75.51,81.52,22.04,0.368,78.06,B
banana,85.93,90.95,79.21,19.93,0.068,88.07,A
banana,71.8,97.33,53.15,56.71,0.281,76.83,C
banana,72.07,62.0,73.77,28.24,0.313,66.89,C
cucumber,54.88,100.0,58.52,50.04,0.405,78.35,C
cucumber,87.38,72.16,100.0,0.45,0.149,84.74,B
orange,100.0,80.42,100.0,0.0,0.038,92.66,A
orange,61.97,84.57,76.12,18.76,0.398,81.07,C
banana,76.97,80.92,70.12,30.72,0.198,88.8,A
orange,56.86,74.98,67.91,44.33,0.365,73.58,C
orange,83.0,96.84,95.45,1.84,0.18,86.82,A
orange,79.49,72.47,73.02,16.87,0.225,64.26,B
cucumber,59.6,71.8,94.48,9.05,0.461,90.94,C
orange,66.41,99.99,52.55,51.92,0.311,71.62,C
carrot,92.17,92.98,79.44,21.35,0.105,87.73,A
orange,86.12,84.45,89.48,0.75,0.132,80.05,A
orange,100.0,76.31,78.04,26.5,0.0,74.56,B
carrot,83.47,47.24,60.37,46.23,0.215,55.68,C
apple,81.23,88.66,70.95,29.75,0.156,86.12,A
carrot,100.0,98.56,69.47,24.81,0.064,86.73,B
carrot,68.5,87.11,58.64,45.17,0.384,81.03,C
cucumber,88.63,65.42,79.16,33.68,0.07,71.99,C
tomato,87.26,100.0,64.27,29.79,0.189,76.16,B
apple,75.05,81.21,92.58,11.11,0.272,84.88,A
tomato,100.0,90.3,77.59,14.62,0.0,82.88,A
cucumber,69.98,81.81,100.0,7.48,0.292,84.86,B
tomato,77.26,61.28,87.4,18.76,0.106,70.22,C
tomato,76.34,90.81,67.75,27.26,0.273,76.94,B
orange,61.33,65.77,88.08,13.43,0.433,74.27,C
carrot,66.07,98.33,51.63,55.88,0.405,79.28,C
tomato,65.75,79.48,55.28,38.95,0.375,70.63,C
tomato,62.26,90.11,83.27,25.79,0.406,91.98,C
carrot,92.7,66.55,74.05,25.71,0.061,72.52,C
cucumber,87.52,86.71,73.17,22.42,0.18,81.69,A
carrot,75.09,61.08,76.57,22.24,0.22,76.75,C
banana,60.66,90.48,100.0,6.46,0.392,89.57,C
apple,71.83,73.76,64.49,33.55,0.277,71.55,B
banana,59.43,73.81,73.45,25.38,0.497,74.79,C
apple,84.27,88.55,74.0,18.72,0.245,75.92,A
apple,87.91,84.4,85.61,24.63,0.149,82.21,A
cucumber,68.53,83.96,55.31,38.49,0.317,71.48,C
orange,52.46,87.97,62.89,44.79,0.458,69.81,C
orange,64.26,97.23,76.01,23.08,0.387,81.59,C
apple,58.66,86.9,58.41,34.99,0.455,75.28,C
orange,68.71,71.16,100.0,5.44,0.292,88.46,B
orange,57.66,73.93,77.68,25.04,0.419,77.04,C
carrot,75.55,78.45,69.18,32.21,0.265,74.8,B
cucumber,60.32,70.01,82.38,26.45,0.404,74.14,C
carrot,60.95,97.71,78.99,17.0,0.382,85.71,C
cucumber,97.68,79.57,78.49,24.96,0.0,80.0,B
cucumber,54.69,85.03,75.27,25.51,0.455,81.45,C
tomato,98.06,67.85,70.53,33.47,0.043,71.48,C
banana,87.21,95.57,71.09,22.96,0.112,86.89,A
banana,84.1,86.84,72.57,25.19,0.15,83.33,A
carrot,62.91,91.15,65.59,37.23,0.361,86.2,C
orange,71.73,84.14,85.71,9.05,0.279,83.59,B
carrot,71.4,95.34,66.42,36.98,0.302,73.9,B
cucumber,85.79,65.04,86.05,10.91,0.143,69.07,C
tomato,91.9,72.32,66.29,36.44,0.105,57.13,B
banana,100.0,88.34,87.15,11.99,0.0,91.12,A
carrot,86.16,79.37,79.81,15.54,0.182,73.65,B
cucumber,100.0,100.0,100.0,7.65,0.0,100.0,A
apple,54.7,100.0,94.06,5.75,0.392,94.1,C
banana,50.68,93.34,50.35,51.37,0.451,64.71,C
carrot,72.99,92.06,55.72,39.74,0.151,62.97,C
carrot,100.0,100.0,77.48,17.57,0.0,93.11,A
carrot,81.56,81.85,66.9,29.94,0.199,69.49,B
apple,84.78,76.34,78.04,30.27,0.144,81.79,B
tomato,70.94,82.33,100.0,0.0,0.286,98.45,B
banana,66.22,79.45,81.31,19.8,0.416,82.62,B
apple,72.6,73.11,72.39,20.66,0.298,70.82,B
apple,67.92,87.98,57.7,46.92,0.297,78.64,C
carrot,80.2,89.58,78.87,25.59,0.203,75.91,A
apple,93.13,80.95,88.63,15.51,0.03,80.22,A
orange,73.45,93.24,73.15,32.99,0.287,84.63,B
orange,72.39,84.79,95.09,4.59,0.303,90.17,B
cucumber,100.0,96.42,77.27,24.02,0.0,85.98,A
cucumber,82.64,92.21,87.99,5.36,0.222,89.65,A
carrot,98.05,99.56,80.22,24.03,0.058,96.87,A
orange,88.92,66.07,100.0,6.39,0.085,77.89,C
tomato,73.83,85.96,87.89,8.71,0.206,88.86,B
cucumber,70.0,83.75,54.51,43.98,0.336,72.16,C
orange,60.48,82.19,84.98,17.45,0.37,85.07,C
carrot,100.0,84.46,49.87,51.35,0.102,60.73,C
apple,74.6,83.15,79.11,27.73,0.258,87.52,B
cucumber,76.24,77.8,65.29,23.8,0.251,81.82,B
apple,88.3,77.04,72.09,33.82,0.217,82.01,B
tomato,90.08,82.42,79.36,16.12,0.027,75.25,A
apple,73.62,64.37,75.4,22.69,0.205,68.03,C
carrot,73.19,74.6,90.83,0.0,0.169,82.73,B
cucumber,84.06,75.53,61.31,38.64,0.137,76.18,B
carrot,73.14,81.36,100.0,0.0,0.296,93.91,B
tomato,82.34,84.33,77.61,18.94,0.193,91.11,A
cucumber,96.16,85.65,89.69,5.09,0.025,92.41,A
carrot,66.44,76.2,100.0,0.58,0.427,89.13,B
apple,81.69,78.33,91.08,17.07,0.131,82.95,B
cucumber,76.06,76.08,92.15,14.47,0.217,85.18,B
cucumber,59.87,71.25,77.99,22.2,0.353,71.04,C
tomato,84.83,58.39,59.81,29.01,0.173,50.09,C
orange,78.48,100.0,100.0,0.0,0.23,95.06,A
carrot,76.3,96.74,85.59,10.11,0.272,79.95,A
carrot,66.71,72.11,77.25,21.53,0.326,73.81,B
apple,86.1,83.79,71.45,30.96,0.18,74.84,A
tomato,77.11,95.94,58.36,52.47,0.162,75.42,C
banana,100.0,75.96,67.99,29.79,0.005,70.33,B
cucumber,76.01,40.0,76.91,23.19,0.292,65.0,C
banana,90.24,68.78,88.28,8.29,0.038,77.6,C
tomato,99.01,84.17,99.94,0.0,0.062,88.8,A
apple,81.25,89.94,80.01,15.55,0.232,93.63,A
tomato,69.24,59.98,83.99,14.02,0.301,74.76,C
cucumber,73.97,80.8,99.52,0.66,0.199,84.18,B
orange,80.09,68.45,51.0,52.81,0.233,57.88,C
tomato,80.82,89.23,85.68,0.0,0.18,90.04,A
carrot,71.84,82.43,88.01,12.47,0.357,90.86,B
cucumber,75.03,47.8,70.78,21.1,0.261,60.05,C
cucumber,88.44,98.76,75.58,38.1,0.127,80.62,A
banana,72.41,89.11,60.84,37.37,0.268,72.73,B
carrot,90.17,89.7,94.67,3.35,0.158,85.36,A
banana,59.79,82.11,95.24,1.15,0.378,87.59,C
banana,86.59,76.27,67.47,24.46,0.105,77.75,B
apple,66.9,96.83,66.64,41.88,0.401,82.02,B
tomato,55.52,100.0,82.2,15.86,0.493,94.61,C
orange,68.06,85.82,57.03,46.97,0.318,72.83,C
tomato,75.8,78.99,62.11,42.63,0.316,67.76,B
apple,84.48,82.1,51.57,40.62,0.116,56.14,C
banana,99.12,86.41,75.52,11.34,0.0,80.95,A
carrot,67.52,92.37,68.32,32.01,0.386,78.61,B
carrot,67.65,99.02,76.73,29.82,0.289,94.91,B
apple,84.52,83.58,67.91,32.08,0.133,80.54,B
apple,74.95,64.04,49.13,40.51,0.281,50.83,C
apple,80.05,81.22,83.01,17.94,0.064,80.5,A
apple,84.38,100.0,100.0,0.0,0.139,92.17,A
banana,93.19,86.21,78.66,29.63,0.129,88.22,A
banana,84.85,77.81,88.27,16.62,0.142,81.29,B
orange,100.0,73.01,71.79,30.32,0.024,69.78,B
apple,100.0,87.07,84.5,26.05,0.0,85.34,A
carrot,75.41,64.13,87.97,14.55,0.232,75.55,C
orange,89.42,68.37,79.27,24.93,0.017,77.24,C
apple,76.24,68.04,98.9,0.0,0.155,84.14,C
cucumber,71.79,63.94,84.41,3.64,0.23,71.3,C
carrot,97.43,95.23,73.55,11.89,0.045,91.74,A
banana,96.51,87.56,56.97,39.88,0.132,65.18,C
tomato,92.14,76.83,57.09,52.08,0.102,65.05,C
orange,60.81,100.0,75.61,32.78,0.437,85.2,C
tomato,99.69,99.55,45.97,57.33,0.0,67.59,C
orange,81.93,65.8,68.54,26.67,0.156,66.81,C
banana,100.0,87.92,100.0,0.0,0.0,100.0,A
tomato,69.33,79.86,87.52,5.05,0.342,86.61,B
banana,91.35,97.6,74.23,20.59,0.192,78.28,A
carrot,56.6,88.78,100.0,1.14,0.484,84.41,C
orange,49.89,91.36,51.24,41.09,0.527,76.61,C
apple,75.62,88.84,84.6,14.1,0.189,89.55,A
tomato,91.41,85.74,57.3,46.84,0.086,69.11,C
orange,73.58,73.72,90.22,1.27,0.215,80.33,B
carrot,93.81,62.31,97.62,10.47,0.003,67.36,C
banana,76.92,95.47,100.0,0.0,0.318,86.59,A
banana,71.74,95.83,96.77,8.95,0.215,100.0,B
tomato,85.64,61.95,42.93,63.3,0.135,46.01,C
apple,83.46,81.01,51.17,60.15,0.216,64.41,C
apple,73.57,86.31,57.93,44.01,0.198,71.77,C
orange,61.23,100.0,76.95,24.3,0.287,85.49,C
banana,84.92,84.33,41.54,59.71,0.169,69.35,C
banana,44.37,70.04,58.45,45.97,0.42,62.0,C
carrot,99.39,82.09,90.34,0.0,0.0,93.4,A
tomato,79.55,68.58,77.61,15.51,0.264,86.74,C
tomato,85.26,74.38,35.46,54.43,0.225,49.78,C
apple,87.83,99.79,72.81,24.77,0.125,83.16,A
banana,69.39,86.94,78.96,33.82,0.328,88.71,B
carrot,85.88,73.32,82.33,21.8,0.144,89.86,B
apple,99.42,96.13,88.23,22.35,0.0,99.03,A
tomato,69.53,88.74,95.73,0.0,0.279,92.72,B
tomato,75.2,92.25,100.0,2.52,0.211,89.64,A
apple,63.9,87.61,83.23,13.99,0.46,81.74,C
banana,76.21,89.67,90.27,17.39,0.259,95.23,A
apple,91.77,92.86,100.0,0.0,0.037,100.0,A
orange,38.23,87.9,92.96,3.58,0.596,85.06,C
tomato,70.61,73.81,64.2,34.18,0.28,78.37,B
orange,72.09,86.13,66.77,29.69,0.194,68.59,B
cucumber,80.76,94.91,47.41,49.29,0.124,69.84,C
tomato,94.14,76.64,75.24,33.49,0.082,72.14,B
orange,65.59,87.05,84.25,7.55,0.353,85.06,B
orange,86.17,91.98,83.64,14.54,0.185,83.44,A
cucumber,35.0,81.16,62.86,39.53,0.551,68.77,C
tomato,85.05,69.64,82.55,14.11,0.148,79.07,C
banana,79.39,72.23,68.67,35.15,0.155,69.56,B
carrot,72.21,80.76,59.85,29.04,0.304,75.13,C
orange,83.53,95.0,85.53,11.97,0.117,90.67,A
